recipeID,calories,protein,prepTime,highFiber,category
1,450,30,20,1,balanced
2,700,45,35,0,high_protein
3,300,12,10,1,light
4,650,40,25,0,high_protein
5,350,18,15,1,light
6,550,28,30,1,balanced
7,420,26,18,1,balanced
8,720,50,40,0,high_protein
9,280,10,12,1,light
10,610,38,28,0,high_protein
11,390,20,16,1,light
12,500,32,24,1,balanced
13,470,27,22,1,balanced
14,760,52,45,0,high_protein
15,320,14,10,1,light
16,680,44,32,0,high_protein
17,360,16,14,1,light
18,530,29,26,1,balanced
19,440,25,20,1,balanced
20,730,48,38,0,high_protein
21,290,11,11,1,light
22,640,41,30,0,high_protein
23,380,19,15,1,light
24,570,34,27,1,balanced
